price,discription,image_urls
550,Pepper your look with easy elegance with this simple yet striking pair of gold-plated blue chandbali earrings. It features enchanting meena work and faux pearl drops.,"https://img.faballey.com/images/Product/ZEA00455/d3.jpg,https://img.faballey.com/images/Product/ZEA00455/d4.jpg,https://img.faballey.com/images/Product/ZEA00455/d5.jpg,https://img.faballey.com/images/Product/ZEA00455/d6.jpg"
750,"Daintily detailed and statement worthy, this layered dangler is perfect for your next festive soiree. It features a kundan encrusted, layered crescent motif with green beads and faux pearl drops.","https://img.faballey.com/images/Product/ZEA00307/d3.jpg,https://img.faballey.com/images/Product/ZEA00307/d4.jpg,https://img.faballey.com/images/Product/ZEA00307/d5.jpg,https://img.faballey.com/images/Product/ZEA00307/d6.jpg"
700,Give your jewellery collection a traditional and timeless update with this pair of ever-so-classic gold-plated chandbali earrings. It features a kundan-encrusted floral motif with white faux beads and red stone drops.,"https://img.faballey.com/images/Product/ZEA00486/d3.jpg,https://img.faballey.com/images/Product/ZEA00486/d4.jpg,https://img.faballey.com/images/Product/ZEA00486/d5.jpg,https://img.faballey.com/images/Product/ZEA00486/d6.jpg"
700,Clean lines and a minimal aesthetic come together in this gold plated cuff bracelet.. Features a black statement stone center on an adjustable bangle,"https://img.faballey.com/images/Product/ZBR00061/d3.jpg,https://img.faballey.com/images/Product/ZBR00061/d4.jpg,https://img.faballey.com/images/Product/ZBR00061/d5.jpg,https://img.faballey.com/images/Product/ZBR00061/d6.jpg,https://img.faballey.com/images/Product/ZBR00061/d7.jpg"
925,Give your jewellery collection a traditional and timeless update with this pair of gold-plated kundan jhumkas. It features a kundan encrusted floral motif with two-tiered jhumka and a green drop bead.,"https://img.faballey.com/images/Product/ZEA00300/d3.jpg,https://img.faballey.com/images/Product/ZEA00300/d4.jpg,https://img.faballey.com/images/Product/ZEA00300/d5.jpg,https://img.faballey.com/images/Product/ZEA00300/d6.jpg"
1100,Piece together a winning festive look with this pair of dazzling silver stud earrings. It features crystal-studded concentric circles with a silver-toned faux pearl center.,"https://img.faballey.com/images/Product/ZEA00478/d3.jpg,https://img.faballey.com/images/Product/ZEA00478/d4.jpg,https://img.faballey.com/images/Product/ZEA00478/d5.jpg,https://img.faballey.com/images/Product/ZEA00478/d6.jpg"
925,"Thoughtfully designed with a mix of delicate filigree, enchanting meena work and the playfulness of white beads, this pair of dangler earrings is a statement in itself. It features gold plating, pink enamel work and tiers of white beads.","https://img.faballey.com/images/Product/ZEA00351/d3.jpg,https://img.faballey.com/images/Product/ZEA00351/d4.jpg,https://img.faballey.com/images/Product/ZEA00351/d5.jpg,https://img.faballey.com/images/Product/ZEA00351/d6.jpg"
950,"With a fresh and easy-to-style design, this pair of gold-plated floral chain danglers is a must-have for your festive ensembles. It features a green kundan encrusted floral motif with delicate metallic chains topped with white beads.","https://img.faballey.com/images/Product/ZEA00465/d3.jpg,https://img.faballey.com/images/Product/ZEA00465/d4.jpg,https://img.faballey.com/images/Product/ZEA00465/d5.jpg,https://img.faballey.com/images/Product/ZEA00465/d6.jpg"
1300,"With a sophisticated design and understated glam, these gold-plated bangles are an easy set to pick for your next summer soiree. Encrusted with green oval crystals, this pair is just what you need to make a subtle yet striking statement.","https://img.faballey.com/images/Product/ZBR00077/d3.jpg,https://img.faballey.com/images/Product/ZBR00077/d4.jpg,https://img.faballey.com/images/Product/ZBR00077/d5.jpg,https://img.faballey.com/images/Product/ZBR00077/d6.jpg,https://img.faballey.com/images/Product/ZBR00077/d7.jpg"
700,"Crafted with a delicate silver drop design, this set of oxidised bangles can be your new 9 to 9 go-to. Features a set of 2 bangles","https://img.faballey.com/images/Product/ZBR00055/d3.jpg,https://img.faballey.com/images/Product/ZBR00055/d4.jpg,https://img.faballey.com/images/Product/ZBR00055/d5.jpg,https://img.faballey.com/images/Product/ZBR00055/d6.jpg,https://img.faballey.com/images/Product/ZBR00055/d7.jpg"
650,Take your everyday look from drab to fab with these gold-plated hoop earrings. These come in a set of three with a mix of playful shapes.,"https://img.faballey.com/images/Product/ZEA00338/d3.jpg,https://img.faballey.com/images/Product/ZEA00338/d4.jpg,https://img.faballey.com/images/Product/ZEA00338/d5.jpg"
700,Classic kundan gets an elevated and stylish update with this pair of gold-plated crystal jhumki earrings. It features a stunning kundan center with white bead drops.,"https://img.faballey.com/images/Product/ZEA00349/d3.jpg,https://img.faballey.com/images/Product/ZEA00349/d4.jpg,https://img.faballey.com/images/Product/ZEA00349/d5.jpg,https://img.faballey.com/images/Product/ZEA00349/d6.jpg"
